Game,Release_Year,Genre_Category,research_category,diversity_subcategory,uses_drse,num_drse,Quartz,Opal,Amethyst,Citrine,Jasper,Emerald,Aquamarine,Diamond,Ruby,Sapphire,Pearl,Topaz,Garnet,Sunstone,Jade,Obsidian,Unique_Minerals_Gems,num_standard_gems,unique_mineral_count,total_mineral_diversity,has_real_minerals,real_mineral_count,diversity_category,cluster,PC1,PC2
Final Fantasy Tactics Advance,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy Type-0,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy V,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy VI,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy VII,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Materia, Mythril, Adamantite",0,3,3,1,0,Low,-1,,
Final Fantasy VII Rebirth,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Materia, Mythril, Adamantite",0,3,3,1,0,Low,-1,,
Final Fantasy VII Remake,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Materia, Mythril, Adamantite",0,3,3,1,0,Low,-1,,
Final Fantasy VIII,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Materia, Mythril, Adamantite",0,3,3,1,0,Low,-1,,
Final Fantasy X,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy X-2,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy XI,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy XII,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy XII: The Zodiac Age,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Final Fantasy XIII,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy XIII-2,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy XIV,2010.0,MMORPG,D/R/S/E Cultural Default,,True,4,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"Cinnabar, Electrum, Chrysolite, Triphane, Spinel, Azurite, Lazurite, Star Sapphire, Lapis",14,9,23,1,23,High,2,8.902608691056136,6.07135486412438
Final Fantasy XIV,2010.0,MMORPG,D/R/S/E Cultural Default,,True,4,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,"Darksteel, adamantite, cobalt, mythril, electrum, darksteel nugget",13,6,19,1,19,High,2,8.902608691056136,6.07135486412438
Final Fantasy XV,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy XVI,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Forager,2019.0,Idle Crafting,D/R/S/E Cultural Default,,True,3,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,"Coal, iron, gold, crystals (various colors), gems (generic)",5,5,10,1,10,Medium,1,1.582382835374876,-2.141596965192516
Free Realms,,mmo_mmorpg,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Frostpunk,2018.0,City Builder,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coal, steel, wood",0,3,3,1,3,Low,0,-1.873419262523061,0.332662948788032
Frostpunk 2,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coal, Iron, Steam Cores",0,3,3,1,3,Low,-1,,
Galactic Civilizations II,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Galactic Civilizations III,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Galactic Civilizations IV,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Graveyard Keeper,,farming_sims,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Iron, Coal, Silver, Gold, Graphite",1,5,6,1,0,Medium,-1,,
Greed Fall,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Grim Dawn,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Guild Wars 2,2012.0,MMORPG,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mithril, orichalcum, platinum, gold, silver, copper, iron, bloodstone",0,8,8,1,8,Medium,0,-1.7329308026685015,0.6123453903976123
Hades,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Hades 2,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Harvest Moon: Friends of Mineral Town,,farming_sims,D/R/S/E Cultural Default,,True,4,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,"Copper, Silver, Gold, Mystrile, Adamantite, Orichalcum, Mythic Stone",8,7,15,1,0,High,-1,,
Haven and Hearth,,mmo_mmorpg,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Hearts of Iron IV,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Hyrule Warriors,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
Hyrule Warriors: Age of Calamity,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
Into the Breach,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Kingdoms of Amalur,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Steel, Azurite, Sylvanite, Prismere",0,5,5,1,0,Medium,-1,,
Legend of Mana,1999.0,Action RPG,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,"Sword orbs, dream stones, magic stones, ores",6,4,10,1,10,Medium,1,2.170207154103073,-2.218791453409807
Life is Feudal,,mmo_mmorpg,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Lightning Returns: Final Fantasy XIII,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Lord of the Rings Online,2007.0,MMORPG,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mithril, adamant, gold, silver, copper, tin, iron",0,7,7,1,7,Medium,0,-1.7374878093260793,0.5779032041551542
Lost Odyssey,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Lost in Random,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Mana Khemia 2: Fall of Alchemy,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Mana Khemia: Alchemists of Al-Revis,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Manor Lords,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Master of Orion,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Master of Orion 2,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adamantium, Neutronium, Xentronium",0,3,3,0,3,Low,-1,,
Master of Orion 3,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Metaphor: ReFantazio,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Minecraft Dungeons,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Monster Hunter,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter 3 Ultimate,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter 4 Ultimate,,monster_hunter,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Earth Crystal, Carbalite, Eltalite, Mellanje, Ruststone, Skyblade Gem, Zenith Wyvern Gem, Lapis Lazuli",2,8,10,1,10,Medium,-1,,
Monster Hunter Freedom,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter Freedom 2,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter Freedom Unite,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter Generations,,monster_hunter,D/R/S/E Cultural Default,,True,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Machalite, Dragonite, Lightcrystal, Firestone, Firecell Stone, Bismuth Stone, Wyvern Gem",2,7,9,1,9,Medium,-1,,
Monster Hunter Generations Ultimate,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter Now,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter Portable 3rd,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter Rise,,monster_hunter,D/R/S/E Cultural Default,,True,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,"Machalite, Dragonite, Icium, Gracium, Firecell Stone, Bird Wyvern Gem, Bloodrun Jewel, Lazurite, Beast Gem",3,9,12,1,12,High,-1,,
Monster Hunter Rise: Sunbreak,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter Stories,,monster_hunter,D/R/S/E Cultural Default,,True,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,"Kinship Stone, Monster Eggs, Iron Ore, Silver Ore, Gold Ore, various monster gems",3,6,9,1,9,Medium,-1,,
Monster Hunter Stories 2: Wings of Ruin,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Hunter Wilds,,monster_hunter,True Mineralogical Diversity,,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Genesis Opal, Scarlet Amber, Thundering Fulgurite, Icium, Novacrystal, Firecell Stone, Machalite",1,7,8,1,8,Medium,-1,,
Monster Hunter: World,,monster_hunter,D/R/S/E Cultural Default,,True,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"Iron Ore, Machalite, Dragonite, Lightcrystal, Fucium, Firecell Stone, Novacrystal, Wyvern Gem, Spiritvein Gem, Coral Crystal",3,10,13,1,13,High,-1,,
Monster Hunter: World Iceborne,,monster_hunter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,Low,-1,,
Monster Sanctuary,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
My Time At Portia,,mining_survival,D/R/S/E Cultural Default,,True,3,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,"Copper, Iron, Manganese, Lead, Magnesium, Aluminum",4,6,10,1,0,Medium,-1,,
New World,,mmo_mmorpg,D/R/S/E Cultural Default,,True,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,"Iron, Silver, Oil, Platinum, Starmetal, Orichalcum",13,6,19,1,0,High,-1,,
Nioh,2017.0,Action RPG,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amrita (crystallized souls), smithing materials",1,2,3,1,3,Low,0,-1.259347605440868,-0.3059088879895892
Nioh 2,2020.0,Action RPG,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Soul cores, amrita, smithing stones",1,3,4,1,4,Low,0,-1.25479059878329,-0.2714667017471311
No Man's Sky,2016.0,Space Exploration,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ferrite, Cobalt, Gold, Silver, Platinum, Activated Copper",0,6,6,0,6,Medium,0,-1.6898339260541009,0.7425398267243092
Northgard,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Stone",0,2,2,1,2,Low,-1,,
Nuclear Throne,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Octopath Traveler,2018.0,JRPG,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,"Soulstones (various types), elemental stones",10,2,12,1,12,High,1,5.60596396013788,0.9794820955087564
Old School RuneScape,,mmo_mmorpg,D/R/S/E Cultural Default,,True,4,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Red Topaz, Dragonstone, Onyx, Zenyte, Copper, Tin, Iron, Coal, Mithril, Adamantite, Runite",6,11,17,1,0,High,-1,,
Outriders,,borderlands_looter_shooters,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Titanium, Anomaly Shards",0,3,3,1,0,Low,-1,,
Palia,,farming_sims,D/R/S/E Cultural Default,,True,3,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,"Copper, Iron, Palium, Silver, Gold",9,5,14,1,0,High,-1,,
Path of Exile,2013.0,Action RPG,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Skill gems (red/green/blue/white), currency items, essence crystals",0,3,3,0,3,Low,0,-1.9322709758063965,0.2789271935893871
Path of Exile 2,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Pokemon Black 2/White 2,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Black/White,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Brilliant Diamond/Shining Pearl,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Diamond/Pearl/Platinum,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon FireRed/LeafGreen,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Gold/Silver/Crystal,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon HeartGold/SoulSilver,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Legends: Arceus,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Let's Go Pikachu/Eevee,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Mystery Dungeon series,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Omega Ruby/Alpha Sapphire,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Ranger series,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Red/Blue/Yellow,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Ruby/Sapphire/Emerald,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Scarlet/Violet,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Sun/Moon,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Sword/Shield,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon Ultra Sun/Ultra Moon,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Pokemon X/Y,,pokemon,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Moonstone, Fire Stone, Water Stone, Thunder Stone, Leaf Stone, Ice Stone, Dusk Stone, Shiny Stone, Dawn Stone, Everstone, Hard Stone, Oval Stone, King's Rock",1,13,14,1,14,High,-1,,
Prey,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Project Zomboid,,mining_survival,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stone,0,1,1,1,0,Low,-1,,
Quirky Crystal RPG,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
